Method and stage of disposition,All C cases Number,All C cases Percent of total closed,All C cases Percent of total method,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Total number of cases closed,8203,100.0,,5508,100.0,1951,100.0,464,100.0,117,100.0,28,100.0,26,100.0,111,100.0
Agreement of the parties,1945,23.8,100.0,1379,25.0,340,17.5,181,39.0,1,0.9,8,28.6,7,26.9,29,26.1
Informal settlement,1908,23.3,100.0,1360,24.8,331,17.0,173,37.4,0,,8,28.6,7,26.9,29,26.1
Informal settlement,,,,,,,,,,,,,,,,,
Formal settlement,37,0.5,100.0,19,0.3,9,0.5,8,1.6,1,0.9,0,,0,,0,
Formal settlement,,,,,,,,,,,,,,,,,
Compliance with,249,3.0,100.0,207,3.8,26,1.3,7,1.4,1,0.9,3,10.7,,,5,4.5
Compliance,,,,,,,,,,,,,,,,,
