Object class,Amount
Salaries,7402186
Travel,498572
Transportation of things,10876
Communication services,237252
Rents and utility services,16682
Printing and reproduction,214919
Other contractual services,231656
Services performed by other agencies,49914
Supplies and materials,81336
Equipment,29220
"Refunds, awards, and indemnities",857
Taxes and assessments,12756
