row_label,Total,Number of cases / Identification of petitioner / Employer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending October 1, 1980",0,0,0,0,0
Received fiscal 1981,7,5,2,0,0
On docket fiscal 1981,7,5,2,0,0
Closed fiscal 1981,7,5,2,0,0
"Pending Sept 30, 1981",0,0,0,0,0
