row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections........,167458,2512,100.0,,1226,100.0,96,100.0,96,100.0,1094,100.0
Under 10............................................................,3668,530,21.1,21.1,329,26.8,14,14.6,22,22.9,165,15.1
10 to 19..............................................................,8096,518,20.6,41.7,268,21.9,23,24.0,13,13.5,214,19.6
20 to 29..............................................................,7941,315,12.5,54.3,153,12.5,15,15.6,7,7.3,140,12.8
30 to 39..............................................................,6440,189,7.5,61.8,82,6.7,6,6.3,11,11.5,90,8.2
40 to 49..............................................................,6545,138,5.5,67.3,73,6.0,3,3.1,4,4.2,58,5.3
50 to 59..............................................................,7067,127,5.1,72.3,53,4.3,4,4.2,6,6.3,64,5.9
60 to 69..............................................................,5569,87,3.5,75.8,37,3.0,3,3.1,3,3.1,44,4.0
70 to 79..............................................................,5676,75,3.0,78.8,31,2.5,7,7.3,1,1.0,36,3.3
80 to 89..............................................................,6190,73,2.9,81.7,30,2.4,3,3.1,4,4.2,36,3.3
90 to 99..............................................................,4858,50,2.0,83.7,21,1.7,5,5.2,2,2.1,22,2.0
100 to 109..........................................................,6466,63,2.5,86.2,23,1.9,1,1.0,2,2.1,37,3.4
110 to 119..........................................................,2811,25,1.0,87.2,12,1.0,0,0.0,0,0.0,13,1.2
120 to 129..........................................................,4893,37,1.5,88.7,16,1.3,3,3.1,2,2.1,16,1.5
130 to 139..........................................................,4199,31,1.2,89.9,9,0.7,1,1.0,1,1.0,20,1.8
140 to 149..........................................................,2672,18,0.7,90.6,6,0.5,3,3.1,0,0.0,9,0.8
150 to 159..........................................................,3639,22,0.9,91.5,11,0.9,1,1.0,2,2.1,8,0.7
160 to 169..........................................................,2704,17,0.7,92.2,3,0.2,2,2.1,1,1.0,11,1.0
170 to 179..........................................................,2825,16,0.6,92.8,7,0.6,0,0.0,1,1.0,8,0.7
180 to 189..........................................................,3616,18,0.7,93.5,5,0.4,0,0.0,2,2.1,11,1.0
190 to 199..........................................................,1663,8,0.3,93.8,3,0.2,0,0.0,0,0.0,5,0.5
200 to 299..........................................................,15095,61,2.4,96.3,23,1.9,0,0.0,5,5.2,33,3.0
300 to 399..........................................................,9003,28,1.1,97.4,10,0.8,0,0.0,1,1.0,17,1.6
400 to 499..........................................................,7683,18,0.7,98.1,6,0.5,0,0.0,2,2.1,10,0.9
500 to 599..........................................................,3412,8,0.3,98.4,3,0.2,0,0.0,1,1.0,4,0.4
600 to 799..........................................................,10852,18,0.7,99.1,6,0.5,2,2.1,1,1.0,9,0.8
800 to 999..........................................................,3084,4,0.2,99.3,1,0.1,0,0.0,0,0.0,3,0.3
"1,000 to 1,999....................................................",15802,13,0.5,99.8,3,0.2,0,0.0,1,1.0,9,0.8
