row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO v. AFL-CIO AFL-CIO v. Teamsters AFL-CIO v. National AFL-CIO v. Local Teamsters v. National. Teamsters v Local,"3,360 1,814",935 992,935 465,- 527,,,93,728,728,,,,"1,604 334"
,,,,,,,278,210,92,118,,,
,1430,1056,424,,632,,6,133,67,,66,,235
,3205,3027,"1,258 -",2,- 14,1769,109,32,3,- 13,,29,37
,170 800,16 ' 584,,299,,- 285,0 14,48 42,,24,35 -,- 18,106 160
Teamsters v Teamsters,24,18,,18,-7--,,6,0,,0,,,0
National v. Local .,323,313 5,,,237,76,10,0,,,0,0 0-,0
National v. National,5,225,,,5,,0,0,,,,,0
Local v. Local,318,7171,3082,,- 888,"225 2,355",69,8,,- 155,- 101,8,16
2-union elections,11449,,268,846,84,,585,1201,890,,0,55 -,"2,492 0"
AFL-CIO v AFL-CIO v. National 3 (or more)-union elections,360 360,352 352,268,- 0,84,0,8 8,0 o,0 o,o,o,o,0
Total RC elections,201238,48339,31834,8944,2594,4967,18471,46641,,10897,1204,1101,87787
,,,,,,,,,33439,,,,
