row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,3371,475,1602,1602,,,1769,205638,76288,76288,,,129350
Other national unions,83,554,46,,46,,37,8103,3984,,3984,,4119
Other local unions,241,527,127,,,127,114,20776,10370,,,10730,10406
I -union elections,3695,480,1775,1602,46,127,1920,234517,90642,76288,3984,10370,143875
AFL-C10 v AFL-CIO,33,697,23,23,,,10,3038,1981,1981,,,1057
AFL-CIO v National .,9,889,8,1,7,,1,1989,1868,8,1860,,121
AFL-C10 v Local,43,814,35,21,,14,8,8952,3814,3042,,772,5138
National v Local,2,100 0,2,,1,1,0,53,'53,,12,41,0
Local v Local,8,100 0,8,,,8,0,1455,1455,,,1455,0
2-union elections,95,800,76,45,s,23,19,15487,9171,5031,1872,2268,6316
AFL-C10 v AFL-C10 v AFL-CIO,2,100 0,2,2,,,0,184,184,184,,,0
AFL-C10 v AFL-C10 v Local,2,100 0,2,1,,1,0,417,417,23,,394,0
AFL-C10 v Local v Local,1,100 0,1,0,,1,0,121,121,0 207,---- 0,121,0
3 (or more)-union elections,5,100 0,5,3,0,2,0,722,722,,,515,0
Total representation elections,3795,489,1856,1650,54,152,1939,250726,100535,81526,5856,13153,150191
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
AFL-CIO,2925,499,1461,1461,,,1464,185101,66902,66902,,,118199
Other national unions,72,62 5,45,,45,,27,7729,3949,,3949,,3780
Other local unions,204,578,118,,,118,86,18797,9903,,,9903,8894
I -umon elections,3201,507,1624,1461,45,118,1577,211627,80754,66902,3949,9903,130873
AFL-C10 v AFL-CIO,27,667,18,18,,,9,2696,1658,1658,,,1038
AFL-CIO v National,9,889,8,I,7,,1,1989,1868,8,1860,,121
