row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO............................................,587,60.5,355,355,,,232,26320,13384,13384,,,12936
Other local unions...............................,76,68.4,52,,,52,24,5834,3633,,,3633,2201
Other national unions.........................,810,61.2,496,,496,,314,51420,35182,,35182,,16238
1-union elections...........................,1473,61.3,903,355,496,52,570,83574,52199,13384,35182,3633,31375
AFL-CIO v. AFL-CIO...................... AFL-CIO v. Local..............................,16 19,75.0 73.7,12 14,12 11,,-- 3,4 5,"508 1,551",358 797,358 711,,-- 86,150 754
AFL-CIO v. National.........................,37,91.9,34,20,14,,3,2801,2657,1699,958,,144
Local v. Local.....................................,8,87.5,7,,,7,1,537,423,,,423,114
National v. Local................................,21,95.2,20,,9,11,1,2566,2494,,934,1560,72
National v. National...........................,34,94.1,32,,32,,2,3656,3402,,3402,,254
2-union elections...........................,135,88.1,119,43,55,21,16,11619,10131,2768,5294,2069,1488
AFL-CIO v. AFL-CIO v. Local v. Local...............................................,2,100.0,2,1,,1,0,10,10,5,,5,0
AFL-CIO v. AFL-CIO v. National...,1,100.0,1,0,1,,0,196,196,0,196,,0
Local v. Local v. Local.......................,1,100.0,1,,,1,0,155,155,,,155,0
Local v. Local v. Local v. Local.........,1,100.0,1,,,1,0,114,114,,,114,0
National v. Local v. Local..................,3,100.0,3,,0,3,0,225,225,,0,225,0
National v. National v. Local.............,1,100.0,1,,0,1,0,131,131,,0,131,0
National v. National v. National v. National..........................................,2,100.0,2,,2,,0,6,6,,6,,0
3 (or more)-union elections...........,11,100.0,11,1,3,7,0,837,837,5,202,630,0
Total representation elections........,,63.8,1033,399,,,,,63167,16157,40678,6332,32863
,,,,,554,80,586,96030,,,,,
,1619,,434,,,,,,,,29868,,
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
Other national unions,663,65.5,,,434,,229,42738,29868,,,,12870
