Participating unions,Total elections,Total won by unions — Percent,Total elections in which representation rights were won by unions,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,In elections won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,In elections where no representative chosen
1-union elections — Subtotal,3595,42.6,1533,993,417,28,96,2062,,,,,,,
AFL-CIO (1-union),2234,44.4,993,993,,,,,,,,,,,
Teamsters (1-union),1196,38.7,417,,417,,,,,,,,,,
Total representation elections — GRAND TOTAL FY1991,3752,44.3,1664,1054,434,39,137,2098,,64011,14169,8135,135795,,
