Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, dismissed, inactive, pending, etc."
Under sec. 10 (j) — (a) Against unions,2,1,,1 dismissed
Under sec. 10 (j) — (b) Against employers,8,4,2,2 settled
Under sec. 10 (j) — (c) Against union and employer,1,1,,
Under sec. 10 (l),282,81,13,70 settled; 8 withdrawn; 8 dismissed; 108 alleged illegal activity suspended; 8 pending
Total,293,87,15,205
