row_label,Division and State,Total elections,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in units choosing representation
Mountain,431,226,141,73,5,5,205,13994,12814,6311,3786,2240,240,379,6203,5227,
Pacific,1520,817,455,282,54,26,722,71397,64951,32389,18050,8551,3581,1594,2729,29952,30861
Puerto Rico,198,114,64,10,3,37,84,18141,14991,9022,3861,1594,228,3381,3814,8524,
Outlying area,205,117,69,10,3,38,88,18438,15188,9768,3775,1904,236,3581,3876,8768,
"Total, all States and areas",8923,4787,2662,1497,385,243,4136,551638,491538,267000,174516,43720,30748,48007,222407,267127,
