Industrial Group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
"Agriculture, Forestry, Fishing, and Hunting",164,136,113,23,0,0,0,0,0,27,21,0,6,0,0,1
Mining (except Oil and Gas),377,327,244,66,12,3,1,0,1,50,42,0,8,0,0,0
"Building, Heavy, and Specialty Trade Contractors (Construction)",3958,3282,2235,614,240,107,10,0,56,663,607,19,37,3,1,9
31-Manufacturing (durable + nondurable summary),1610,1375,1067,293,12,2,0,0,1,211,164,6,41,9,1,14
