row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
"Total, all industrial groups",27403,15620,10695,2811,1233,393,6,419,11683,10018,988,679,98
Manufacturing,13970,7591,5994,1140,228,101,1,111,6320,5582,397,341,59
Ordnance and accessories Food and kindred products Tobacco manufacturers,62,47 947,39 747,8 138,o,o,,o 9,15 925,14 818,1 59,0,o 6 0
,"1,878 12",,,,41,4,,,,,,48,
Textile mill products,433,7 297,6 266,1 22,0 3,0 0,,o 5,5 133,5 111,0 12,0 10,3
Apparel and other finished products made from fabric and similar materials,534,371,282,55,14,3,,16,162,126,31,5,1
Lumber and wood products (except furniture),452,204,170,19,6,3,,5,243,200,26,17,5
Furniture and fixtures,566,338,291,38,6,1,,2,226,198,13,15,2
Paper and allied products,464,217,177,35,2,0,,3,245,230,7,8,2
"Printing, publishing, and allied industries",810,434,302,82,14,25 3,,11,373,321 352,24 16,28 22,3
Chemicals and allied products,737,343,265,50,20,,,4,390 84,74,4,6,4
Products of petroleum and coal,181,96,72,10,7 5,5 1,,1 4,313,294,10,9,1 2
Leather and leather products,,245,122,33,33,,,3,86,76,5,,
Rubber products,560 235,147,202,22,0,o,,12,323,,,5,2
"Stone, clay, and glass products",706,382,280,45,,12,,,,278,26 12,19,1
Primary metal industries,991,566,418,111,13,13,,11,419,386,,21,6
Fabricated metal products (except machinery and trans- portation equipment),1516,772,636,101,21,8,,5,735,663,38,34,9
Machinery (except electrical),1154,573,474,61,19,7,,9,578,504,43,31,3
"Electrical machinery, equipment, and supplies","1,190 229",742,576,149,4 2,7 3,,6,443,380 81,32 1,31 1,5 0
Aircraft and parts,,146,104,37,3,1,,0,83 36,31,3,2,0
Ship and boat building and repairing,101,65,49,11,5,3,,1,190,,10,12,2
Automotive and other transportation equipment,531,339,263,67,4,,,1,,168,,,0
"Professional, scientific, and controlling instruments",168,83,71,7,,1,,o,85,70,10,5,
Miscellaneous manufacturing,460,230,182,38,6,1,,3,228,202,14,12,2
"Agriculture, forestry, and fisheries",4,4,4,0,0,0,,0,0,0,0,0,o
,413,259,,,,,,,,135,,,
Mining,,,172,36,13,8,,27,150,,8,7,4
Metal mining Coal mining,65,30,22,8,o,o,,o,35,31,1,3,0
,177,147,,17,9 o,8,,17,,,3,,
Crude petroleum and natural gas production,29,10,93,,,o,,o,30,27 17,o,o 2,0 0
Nonmetallic mining and quarrying,142,72,9 48,1 10,4,o,,10,19 66,60,4,2,4
