Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union (won),Valid votes cast in elections lost — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union (lost)
1-union elections — AFL-CIO,10992,2990,2990,,,,1829,1928,1928,,,,4445
1-union elections — Teamsters,2689,693,,693,,,504,604,,604,,,1378
1-union elections — Other national unions,2034,942,,,942,,,130,,,130,,
1-union elections — Other local unions,1098,385,,,,385,,71,,,,71,
1-union elections — Total,16713,5010,2990,693,942,385,2500,2729,1928,604,130,71,6464
2-union elections — AFL-CIO v Teamsters,645,632,261,371,,,,,,,,,
2-union elections — Total,1349,1191,482,282,285,142,9,32,30,12,0,0,84
Total RD elections,18062,6201,3472,875,1181,703,2508,2761,1937,604,130,71,6548
