Method and stage of disposition,AC cases,UC cases
"Total, all",36,405
Certification amended or unit clarification,8,67
Before hearing,0,0
"By regional director's decision (Cert amended/UC, before hearing)",0,0
"By Board decision (Cert amended/UC, before hearing)",0,0
After hearing (Cert amended or UC issued),8,67
"By regional director's decision (Cert amended/UC, after hearing)",8,67
"By Board decision (Cert amended/UC, after hearing)",0,0
Dismissed,14,109
Before Hearing (Dismissed),0,13
"By regional director's decision (Dismissed, before hearing)",0,13
"By Board decision (Dismissed, before hearing)",0,0
After hearing (Dismissed),14,96
"By regional director's decision (Dismissed, after hearing)",14,96
"By Board decision (Dismissed, after hearing)",0,0
Withdrawn,14,229
Before hearing (Withdrawn),0,226
After hearing (Withdrawn),14,3
