Stage / case type,Number of cases — Total,Number of cases — A.F. of L. affiliates,Number of cases — C.I.O. affiliates,Number of cases — Unaffiliated unions,Number of cases — Individuals,Number of cases — Employers
"All cases — Cases pending July 1, 1950",6714,2749,1425,909,1212,419
"All cases — Cases received July 1, 1950–June 30, 1951",22298,11184,5850,2394,2013,857
"All cases — Cases on docket July 1, 1950–June 30, 1951",29012,13933,7275,3303,3225,1276
"All cases — Cases closed July 1, 1950–June 30, 1951",22637,11152,5681,2720,2100,984
"All cases — Cases pending June 30, 1951",6375,2781,1594,583,1125,292
"Unfair labor practice cases — Cases pending July 1, 1950",3243,956,645,272,1113,257
"Unfair labor practice cases — Cases received July 1, 1950–June 30, 1951",5261,1640,1035,497,1681,408
"Unfair labor practice cases — Cases on docket July 1, 1950–June 30, 1951",8504,2596,1680,769,2794,665
"Unfair labor practice cases — Cases closed July 1, 1950–June 30, 1951",5503,1713,993,558,1748,491
"Unfair labor practice cases — Cases pending June 30, 1951",3001,883,687,211,1046,174
"Representation cases — Cases pending July 1, 1950",2480,1213,536,470,99,162
"Representation cases — Cases received July 1, 1950–June 30, 1951",10247,5751,2633,1090,324,449
"Representation cases — Cases on docket July 1, 1950–June 30, 1951",12727,6964,3169,1560,423,611
"Representation cases — Cases closed July 1, 1950–June 30, 1951",10291,5614,2528,1311,345,493
"Representation cases — Cases pending June 30, 1951",2436,1350,641,249,78,118
"Union-shop authorization cases — Cases pending July 1, 1950",991,580,244,167,0,
"Union-shop authorization cases — Cases received July 1, 1950–June 30, 1951",6790,3793,2182,807,8,
"Union-shop authorization cases — Cases on docket July 1, 1950–June 30, 1951",7781,4373,2426,974,8,
"Union-shop authorization cases — Cases closed July 1, 1950–June 30, 1951",6843,3825,2160,851,7,
"Union-shop authorization cases — Cases pending June 30, 1951",938,548,266,123,1,
