row_label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Construction,4683,2145,799,831,317,135,10,22,345,297,45,3
Wholesale trade,1540,822,213,459,30,5,1,4,130,130,,
Retail trade,3724,1144,458,877,222,91,8,5,1357,1277,76,4
"Finance, insurance, and real estate",360,153,49,113,16,3,,,28,26,,2
"Transportation, communication, and other public utilities",3678,1634,1034,407,117,40,12,24,1042,885,87,70
Local passenger transportation,146,92,73,19,13,1,,,17,14,3,
"Motor freight, warehousing, and transportation services",1650,1121,654,354,71,27,4,11,392,357,16,19
Water transportation,320,198,79,88,28,3,1,,91,81,7,3
Other transportation,282,95,32,50,7,3,3,,36,32,1,3
Communications,1008,36,6,19,1,,1,9,218,188,11,19
"Heat, light, power, water, and sanitary services",175,89,75,13,1,,,,26,22,,4
Services,1397,783,530,153,36,13,10,26,614,547,50,17
