Participating unions,Number of elections and cross checks,Elections won by petitioner / Number,Elections won by petitioner / Percent,Eligible voters number,Valid vote cast for / Total,Valid vote cast for / A. F. of L.,Valid vote cast for / C. I. O.,Valid vote cast for / Unaffiliated unions,Valid vote cast for / No union,Percent of total votes cast for petitioner
Total,5589,3953,70.7,846431,698812,175332,263641,90874,168965,53.4
"A. F. of L. affiliate, petitioner",2499,1779,71.2,297884,245945,129437,40160,13149,63209,52.6
"C. I. O. affiliate, petitioner",2561,1820,71.1,450933,375419,37670,213643,28656,95440,56.9
"Unaffiliated union, petitioner",501,354,70.7,92933,75942,7044,8838,47963,10100,63.2
Employer petitioner,28,,,3723,3506,1181,1000,425,,
