row_label,Section / Subsection,Number of cases showing specific allegations,Percent of total,Section / Subsection,Number of cases showing specific allegations,Percent of total
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a),,,,,,
Total cases,4164,100.0,8(a)(3),2899,69.6,
8(a)(1),4164,100.0,8(a)(4),68,1.6,
8(a)(2),489,11.7,8(a)(5),1235,29.7,
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b),,,,,,
Total cases,1097,,8(b)(4),239,21.8,
8(b)(1),625,57.0,8(b)(5),18,1.6,
8(b)(2),669,61.0,8(b)(6),21,1.9,
8(b)(3),123,11.2,,,,
C. ANALYSIS OF 8(b)(1) AND 8(b)(4),,,,,,
Total cases 8(b)(1),625,100.0,Total cases 8(b)(4),239,100.0,
8(b)(1)(A),609,97.4,8(b)(4)(A),143,59.8,
8(b)(1)(B),25,4.0,8(b)(4)(B),60,25.1,
8(b)(4)(C),,,8(b)(4)(C),22,9.2,
8(b)(4)(D),,,8(b)(4)(D),72,30.1,
