Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representation chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions — Total,Valid votes for unions — AFL-CIO unions,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Total employees in units choosing representation
New England Division — subtotal,14,2,0,0,0,12,460,469,192,177,0,15,268,185
Middle Atlantic Division — subtotal,94,21,18,0,3,63,3984,3544,1691,1632,1,366,1853,1722
East North Central Division — subtotal,152,54,53,1,0,98,6318,5318,2537,2377,17,143,2581,2952
