row_label,Standard Federal Regions,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region V (total),12419,10115,6923,2308,401,98,29,,,,2256,,,,,,
"Total, all Federal regions",53261,39652,27036,9469,1961,405,179,,523,,12902,10338,810,1754,298,82,227
