Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A.F.L. affiliates,Number of elections / In which representation rights were won by — C.I.O. affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for— / A.F.L. affiliates,Valid votes cast for— / C.I.O. affiliates,Valid votes cast for— / Unaffiliated unions,Valid votes cast for— / No union,Employees in units choosing representation
South Atlantic,429,190,64,15,160,63401,58574,19792,11633,2931,24318,35065
Delaware,7,3,2,0,2,269,209,50,88,39,32,218
Maryland,73,35,9,1,27,8274,7300,2413,619,278,2820,5283
District of Columbia,36,12,6,3,11,6348,5489,1734,13,1486,2265,3612
Virginia,68,28,9,4,26,5670,4991,2572,728,712,553,4123
West Virginia,42,21,6,4,9,4209,3604,1030,1094,222,1239,2920
North Carolina,53,8,14,0,28,5394,4933,1141,916,0,2873,3025
South Carolina,21,9,4,0,8,1558,1341,350,191,0,800,1221
Georgia,61,42,12,1,9,8196,7290,4068,810,53,2357,6283
Florida,71,32,2,2,35,3481,3144,1223,1089,192,632,2233
East South Central,206,70,38,6,92,24905,22794,5053,7491,549,9606,13710
Kentucky,53,22,9,1,21,8485,8103,1873,1800,297,1492,6664
Tennessee,73,30,14,4,24,6408,6494,1403,3274,102,1535,3538
Alabama,53,14,8,1,31,7810,6851,1488,1902,150,3267,2791
Mississippi,27,4,7,0,16,2162,1346,289,515,0,1313,716
West South Central,279,109,42,11,117,29072,25554,8336,6653,1779,8786,19588
Arkansas,30,10,7,0,13,3346,2587,906,1116,0,1116,2026
Louisiana,70,26,13,5,26,7326,6906,1309,1213,380,2917,4720
Oklahoma,49,19,9,1,20,1939,1621,658,568,197,1295,1463
Texas,130,54,13,5,58,16461,14440,5463,3936,1102,4394,11360
Mountain,143,68,24,6,45,6673,5762,2199,1718,538,1367,3228
Montana,10,8,0,0,2,240,191,99,0,0,92,195
Idaho,8,3,0,0,5,1653,905,81,0,0,824,153
Wyoming,4,0,0,0,4,1170,962,0,0,0,962,0
Colorado,39,18,6,4,11,1343,464,392,619,0,433,791
New Mexico,13,7,4,0,2,591,511,311,124,0,76,444
Arizona,19,8,6,0,5,1437,1225,547,422,0,245,1131
Utah,13,6,1,1,5,1837,1219,365,153,47,654,511
Nevada,13,8,0,1,4,372,232,153,0,95,117,285
Pacific,510,227,66,30,167,44137,35965,17215,6525,3560,11655,30235
Washington,97,35,11,7,33,6432,4202,2429,1997,1205,2565,3633
Oregon,39,17,7,5,10,2422,1929,1103,167,134,624,1395
California,374,175,48,18,124,35283,29834,13683,4361,2221,8466,25207
Outlying areas,83,31,33,16,24,8188,6324,2694,369,743,2118,3946
Alaska,4,4,0,0,0,158,79,47,0,0,0,79
Hawaii,35,5,22,11,11,5158,3936,1061,0,412,2063,1841
Puerto Rico,39,21,11,4,10,1883,1809,1193,369,331,305,1604
Virgin Islands,5,1,0,1,3,989,500,393,0,0,750,422
