Stage of disposition,All C cases / Number,All C cases / Percent of cases closed,CA cases / Number,CA cases / Percent of cases closed,CB cases / Number,CB cases / Percent of cases closed,CC cases / Number,CC cases / Percent of cases closed,CD cases / Number,CD cases / Percent of cases closed,CE cases / Number,CE cases / Percent of cases closed,CG cases / Number,CG cases / Percent of cases closed,CP cases / Number,CP cases / Percent of cases closed
Total number of cases closed,32341,100.0,24624,100.0,6770,100.0,598,100.0,176,100.0,48,100.0,24,100.0,101,100.0
Before issuance of complaint,27979,86.5,20908,84.5,5541,93.7,100,75.9,,,108,95.1,31,79.2,73,95.8
"After issuance of complaint, before opening of hearing",3333,10.0,2634,11.5,315,4.7,78,23.5,2,1.1,5,33.3,10,10.4,9,8.9
"After hearing opened, before administrative law judge's decision",124,0.4,111,0.5,12,0.2,1,,,,,,,,,
"After administrative law judge's decision, before issuance of Board decision",20,0.1,,,,,,,,,,,,,,
After Board order adopting administrative law judge's decision in absence of exceptions,356,1.1,301,1.2,48,0.7,4,,,,,,,,,
After Board decision,527,1.6,478,1.9,62,0.7,15,,,,,,,,1,1.0
"After circuit court decree, before Supreme Court action",200,0.6,,,,,,,,,,,,,,
After Supreme Court action,0,,,,,,,,,,,,,,,
