Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD / Jurisdictional disputes,Formal actions taken by type of case / CD / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases
10(k) notices of hearings issued,137,110,,,,110,,,,,,
Complaints issued,3953,3264,2335,266,144,,16,5,5,30,457,5
Backpay specifications issued,103,,,,,,,,,,107,20
"Hearings completed, total",1512,1120,811,80,33,69,2,0,6,,,8
"Decisions by administrative law judges, total",1279,989,747,84,33,,4,1,0,,73,5
"Decisions and orders by the Board, total",1756,1302,909,138,56,67,6,0,1,,65,21
