row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Personal and Laundry Services.................,36,21,19,1,1,15,1467,1265,645,619,13,13,620,664
"Religious, Grantmaking, Civic, and Professional and Similar Organizations....",24,19,16,2,1,5,1390,1298,619,596,18,5,679,575
Other Services (except Public Administration)....................................,93,58,53,3,2,35,4065,3677,1871,1817,31,23,1806,1891
"Justice, Public Order, and Safety..............",11,8,3,5,0,3,1043,750,502,116,386,0,248,779
Administration of Human Resource Programs...................................................,2,1,1,0,0,1,88,85,58,58,0,0,27,56
Administration of Environmental Quality Programs...................................................,1,1,1,0,0,0,50,43,28,28,0,0,15,50
"Administration of Housing Programs, Urban Planning, and Community Development.............................................",3,1,1,0,0,2,171,156,87,87,0,0,69,73
Administration of Economic Programs.....,2,0,0,0,0,2,78,65,31,31,0,0,34,0
National Security and International Affairs.......................................................,4,4,1,3,0,0,234,191,148,11,137,0,43,234
Public Administration..........................,23,15,7,8,0,8,1664,1290,854,331,523,0,436,1192
Unclassified Establishments................,51,29,26,1,2,22,1672,1481,753,721,10,22,728,639
"Total, all industrial groups...................",2735,1453,1257,104,92,1282,192537,161971,85085,76035,5123,3927,76886,95778
