Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD
"Total, all States and areas",27403,15620,10695,2811,1233,393,69,419,11685,10018,988,679,98
New England,1290,719,522,120,34,29,2,12,569,498,26,45,2
Middle Atlantic,5860,3004,2236,770,313,120,11,154,2250,2001,146,103,36
East North Central,6128,3514,2489,663,202,70,12,79,2605,2239,178,188,19
West North Central,1963,969,682,131,98,29,4,45,1009,879,80,50,5
South Atlantic,2968,1714,1330,198,122,26,8,30,1252,1145,61,46,2
State,,,,,,,,,,,,,
