Affiliation of union holding union-shop contract,Number of polls — Total,Number of polls — Resulting in deauthorization — Number,Number of polls — Resulting in deauthorization — Percent of total,Number of polls — Resulting in continued authorization — Number,Number of polls — Resulting in continued authorization — Percent of total,Employees involved (number eligible to vote) — Total eligible,Employees involved — In polls — Resulting in deauthorization — Number,Employees involved — In polls — Resulting in deauthorization — Percent of total,Employees involved — In polls — Resulting in continued authorization — Number,Employees involved — In polls — Resulting in continued authorization — Percent of total,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for deauthorization — Number,Valid votes cast — Cast for deauthorization — Percent of total eligible
Total,45,18,40.0,27,60.0,3368,913,27.1,2455,72.9,2535,75.3,725,21.5
AFL-CIO unions,42,16,38.1,26,61.9,3075,718,23.3,3357,76.7,2358,76.7,581,18.9
Other national unions,1,1,100.0,0,,138,138,100.0,0,,104,75.4,104,75.4
Other local unions,2,1,50.0,1,50.0,155,57,36.8,98,63.2,73,47.1,40,25.8
