row_label,Action taken,Total all,Pursuant to — Employer — Total,Pursuant to — Employer — Agreement of parties — Informal settlement,Pursuant to — Employer — Agreement of parties — Formal settlement,Pursuant to — Employer — Recommendation of admin law judge,Pursuant to — Employer — Order of — Board,Pursuant to — Employer — Order of — Court,Pursuant to — Union — Total,Pursuant to — Union — Agreement of parties — Informal settlement,Pursuant to — Union — Agreement of parties — Formal settlement,Pursuant to — Union — Recommendation of admin law judge,Pursuant to — Union — Order of — Board,Pursuant to — Union — Order of — Court
,76978,,,,,,,,,,,,,
Notices posted,2360,2340,1648,25,,105,8,,20,488,33,,80,18
,4508,3308,2402,,,,,,70,,,,,
