Industrial group,Elections — Number,Elections — Percent,Winner — A. F. of L. — Number,Winner — A. F. of L. — Percent,Winner — C. I. O. — Number,Winner — C. I. O. — Percent,Winner — Unaffiliated — Number,Winner — Unaffiliated — Percent,Winner — No union — Number,Winner — No union — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Mining — total,92,.6,44,47.8,12,13.0,32,34.8,4,4.4,9577,.6,6932,.5
Mining — Metal mining,2,(2),1,50.0,1,50.0,0,0,0,0,,,250,
Mining — Coal mining,57,.4,26,45.6,0,0,29,50.9,2,3.5,4892,,3323,
Mining — Crude petroleum and natural gas production,14,.1,5,35.7,8,57.1,0,0,1,7.1,,,,
Mining — Nonmetallic mining and quarrying,19,.1,12,63.2,3,15.8,3,15.8,1,5.2,,,,
Construction,223,1.5,182,81.6,1,.4,26,11.7,14,6.3,5234,.3,4562,.3
Wholesale trade,1557,10.6,1357,85.5,5,.3,72,4.6,92,5.9,33257,1.9,29316,2.0
Retail trade,1396,9.3,1201,86.0,9,.6,94,6.7,92,6.6,78195,4.5,65144,4.4
"Finance, insurance, and real estate",59,.4,32,54.2,10,16.9,13,22.0,4,6.8,1978,.1,1600,.1
"Transportation, communication, and other public utilities — total",1637,10.9,1228,75.0,63,3.8,196,12.0,70,4.3,170717,9.8,138277,9.4
Transp/comm — Highway passenger transportation,136,.9,111,81.6,5,3.7,16,11.8,4,2.9,49822,2.9,42510,2.9
Transp/comm — Highway freight transportation,780,5.2,682,87.4,5,.6,62,7.9,31,4.0,13067,.7,9973,.7
Transp/comm — Water transportation,166,1.1,84,50.6,5,3.0,59,35.5,18,10.8,8332,.5,6213,.4
Transp/comm — Warehousing and storage,242,1.6,208,85.9,10,4.1,10,4.1,14,5.8,8348,.5,9973,
Transp/comm — Other transportation,60,.4,53,88.3,0,0,5,8.3,2,3.3,,,,
Transp/comm — Communications,12,.1,8,66.7,0,0,4,33.3,0,0,,,,
"Transp/comm — Heat, light, power, water, and sanitary services",241,1.6,82,34.0,43,17.8,112,46.5,4,1.7,,,26011,
Services,442,2.9,272,61.5,131,29.6,15,3.4,22,5.0,20890,1.7,20066,1.4
