row_label,col_1,col_2,col_3,col_4
9-RC-346,Container Corp.,30-RC-114 of,,"Denver Smoked, Fish Co."
16-RC-352,America. Container America.,Corp. of,30-RC-87,Denver Truck Ex- change.
16-RC-376,Container America.,Corp. of,7-RC-334,Detroit &Canada Tun- nel Corp.
14-RC-270,Continental Can Co.,,7-RC-485,Detroit Elec-
4-RC-384,Continental Diamond.,,,tronic Products.
7-RC-454,Continental Motors Corp.,,8-RC-111,"Detroit Harvester Co., Dura Division of."
16-RC-48,Continental Pipe Co.,Line,4-RC-86 1-RC-844,"Deutsch, J. M., Inc. Dewey, A. G., Co., Inc."
4-RC-130,Cornwell Chemical,Corp.,39-RC-78,Diamond Alkali Co.
16-RC-137,Corpus Christi casting Co.,Broad-,30-RC-53 13-RC-129,Diamond Match Co. Diebel Die &Manufac-
1-RC-665,"Cote Motor Co., Inc. Creamer-Dunlat Oil",,2-RC-158,turing Co. Dictaphone Corp.
16-RC-249,Field Equipment Co.,,10-RC-64,Di Giorgio Fruit Corp.
13-RC-400 1-RC-385,"Cribben and Sexton Croker Burbank &Co., Association.",Co.,34-RC-121,Dixie Spindle and Flyer Co.
17-RC-151,"Crome, Wm. F., &Co.",,20-RC-256,Dodge San Leandro
2-RC-188,Crowley's Milk,,8-RC-212,Plant. Doehler Jarvis Corp.
14-RC-140,Co. Crown Shoe Co.,,20-RC-57,Dome Tractor Co.
7-RC-227,"Cummins Diesel Service &Sales of Michigan,",,10-RC-157,"Dortch Stove Works, Inc."
34-RC-75,Inc. Curtiss Motor Co.,,4-RC-270 15-RC-155,"Doubleday &Co., Inc. Douglas Public Service Corp."
15-RC-196,D &DTransportation Co.,,1-RC-509,Dover Shoe Manufac- turing Co.
16-RC-370,Dallas Fort Worth Brewing Co.,,4-RC-73 10-RC-88,"D'Rell, Inc. Dr. Pepper Bottling Co."
1-RC-135,Daly Brothers.,,21-RC-695,Drayer &Hanson Co. Drew Grocery Co.
13-RC-585,"Daly Brothers, Shoe Co., Inc.",,15-RC-137 1-RC-375,"Dun &Bradstreet, Inc."
8-RC-238 1-RC-697,"Danner Press, Inc. Davey Tree Expert Co.,",,3-RC-184,"Dupont de Nemours E. I., Co."
1-RC-969,"Inc., The. -Davidson, H. M., Co. Day Manufacturing Co.",,5-RC-70 2-RC-876,Eagle Laundry Co. Eagle Pencil Co.
16-RC-268 14-RC-34,Dazey Co.,,2-RC-255,"Eastern Cooperatives,"
10-RC-316,Decatur Box &Basket,,,Inc.
,Co.,,38-RC-4,Eastern Sugar Associa-
1-RC-784 18-RC-339,Deep Rock Inc. Deere Manufacturing,,35-RC-63,"tion, Central Santa Juana. Eckstein, Jos. L.,&"
8-RC-371,Co. Defiance Automatic,,2-RC-956,"Sons, Inc. Edwin Plating Co.&"
7-RC-295,"Screw Co. De Kleine, Franklin, Co.",,,U. S. Brassturning Co.
4-RC-282,Delaware Broadcasting Co.,,1-RC-673,Electro Motive Manu- facturing Co.
5-RC-249,Delta Oxygen Co. Delta Pine Products,,33-RC-15,"Co., Consolidated. El Paso-Ysleta Bus"
15-RC-203 39-RC-51,Delta Bread Co. Delta Canning Co.,,2-RC-1041,"Elizabethtown Water Co.,"
15-RC-246,,,,Inc.
7-RC-290 32-RC-25,Corp. DeMay's Printing Co. Democrat,Printing&,17-RC-234 10-RC-222,Ely &Walker Dry Goods Co. Empire Furniture Co.
16-RC-287,"Lithographing Co. Denver Amarillo Ex- press, D. G.",,30-RC-92,Empire Petroleum Co. Enid
,"Denver-Colorado Pueblo Motorway,",,16-RC-106,Cooperative Creamery Associa- tion.
,Spring,,,
307RC-135,Inc.,,10-RC-158,Eppinger &Russell Co.
