row_label,All C cases — Number,All C cases — Percent of cases closed,CA cases — Number,CA cases — Percent of cases closed,CB cases — Number,CB cases — Percent of cases closed,CC cases — Number,CC cases — Percent of cases closed,CD cases — Number,CD cases — Percent of cases closed,CE cases — Number,CE cases — Percent of cases closed,CG cases — Number,CG cases — Percent of cases closed,CP cases — Number,CP cases — Percent of cases closed
Total number of cases closed,36424,100.0,26581,100.0,7481,100.0,1481,100.0,394,100.0,72,100.0,47,100.0,368,100.0
Before issuance of complaint,30328,83.3,21514,80.9,6834,91.3,1195,80.8,381,96.7,57,79.2,40,85.1,307,83.4
"After issuance of complaint, before opening of hearing",4011,11.0,3415,12.9,402,5.4,167,11.3,11,2.7,9,12.5,4,8.5,14,3.8
"After hearing opened, before issuance of administrative law judge's decision",692,1.9,537,2.0,82,1.1,44,3.0,1,0.3,8,11.0,0,0.0,7,1.9
"After administrative law judge's decision, before issuance of Board decision",201,0.6,162,0.7,16,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After Board order adopting administrative law judge's decision in absence of exceptions,465,1.1,247,0.9,103,1.4,45,3.0,1,0.3,0,0.0,0,0.0,8,2.2
"After Board decision, before circuit court decree",472,1.3,391,1.4,64,0.9,19,1.2,0,0.0,0,0.0,5,6.9,4,1.1
"After circuit court decree, before Supreme Court action",300,0.8,274,1.0,11,0.2,8,0.5,0,0.0,0,0.0,0,0.0,4,1.1
After Supreme Court action,15,0.0,11,0.0,1,0.0,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0
