Division and State,Total number of elections,Number of elections — A.F. of L. affiliates authorized,Number of elections — C.I.O. affiliates authorized,Number of elections — Unaffiliated authorized,Number of elections — No union authorized,Eligible voters,Total valid votes cast,Valid votes cast for union shop — A.F. of L. affiliates,Valid votes cast for union shop — C.I.O. affiliates,Valid votes cast for union shop — Unaffiliated unions,Valid votes cast against union shop
New England,1744,1055,377,288,24,284581,250841,89012,120219,26823,14787
New England — Massachusetts,1140,707,230,184,19,160177,141797,60964,67178,9855,3799
Middle Atlantic,4670,2888,779,472,31,500025,446914,225918,137934,61199,21800
Middle Atlantic — New York,3036,2403,343,269,21,301040,269906,124758,47597,26837,10096
Middle Atlantic — New Jersey,671,281,248,84,8,196229,158376,39124,67041,27966,5152
Middle Atlantic — Pennsylvania,965,681,158,119,7,158379,159486,62038,21296,6397,6560
East North Central,2951,2488,656,729,78,559985,484001,226237,151200,71876,34650
East North Central — Illinois,1278,943,63,274,28,192886,165279,74545,13209,21675,8475
West North Central,2565,1696,94,343,78,156540,132049,77026,18540,14016,5159
West North Central — Minnesota,1704,1481,7,175,18,70061,60003,41329,6030,6484,1956
South Atlantic,449,352,42,48,7,53283,46910,19253,11337,5373,2061
