Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,Type of situations — CA — Number of situations,Type of situations — CA — Percent by size class,Type of situations — CB — Number of situations,Type of situations — CB — Percent by size class,Type of situations — CC — Number of situations,Type of situations — CC — Percent by size class,Type of situations — CD — Number of situations,Type of situations — CD — Percent by size class,Type of situations — CE — Number of situations,Type of situations — CE — Percent by size class,Type of situations — CG — Number of situations,Type of situations — CG — Percent by size class,Type of situations — CP — Number of situations,Type of situations — CP — Percent by size class,Type of situations — CA-CB combinations — Number,Type of situations — CA-CB combinations — Percent by size class,Type of situations — Other C combinations — Number,Type of situations — Other C combinations — Percent by size class
Total — all sizes,27544,100.0,,21164,100.0,4001,100.0,405,100.0,188,100.0,29,100.0,23,100.0,100,100.0,554,100.0,26,100.0
Under 10,2703,9.8,9.8,2111,10.0,403,7.6,61,18.0,29,16.2,0,0,2,8.7,21,19.6,76,13.8,5,17.9
