Industrial group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Mining (sector total),1548,1460,732,200,519,,,,,87,57,7,17,,,
Construction,5536,3439,2101,893,366,151,,,133,1330,1123,132,75,,,30
Wholesale trade,2313,1668,1290,,,,,,,,,,,,,
Retail trade,5260,4344,,,,,,,,,,,,,,
