row_label,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1978",Injunction proceedings — Filed in district court fiscal year 1979,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept 30, 1979"
Under Sec 10(e) Total,7,2,5,7,5,1,0,1,0,0,0
Under Sec 10(j) Total,73,11,62,65,20,10,24,6,1,1,8
Under Sec 10(l) Total,213,31,182,181,90,5,52,12,9,13,32
