Industrial group,Number of elections / Total,Number of elections / In which representation rights won by — A F L affiliates,Number of elections / In which representation rights won by — C I O affiliates,Number of elections / In which representation rights won by — Unaffiliated unions,Number of elections / In which no representative was won,Eligible voters,Valid votes cast
Total,6765,3073,1394,464,1832,771346,667878
Manufacturing,4562,1890,1117,349,1206,588368,517193
Ordnance and accessories,60,43,4,4,9,21867,17348
Food and kindred products,610,321,85,34,170,35674,30611
Tobacco manufactures,8,3,2,1,2,2068,1679
Textile-mill products,139,48,31,10,50,30358,26234
Apparel and other finished products made from fabrics and similar material,129,49,32,5,43,16026,14462
Lumber and wood products,262,102,75,6,79,17438,15382
Furniture and fixtures,145,49,56,4,36,12311,11097
Paper and allied products,207,118,28,14,47,20717,17599
"Printing, publishing, and allied industries",217,109,41,20,50,7637,6852
Chemicals and allied products,303,112,77,29,85,32585,29281
Products of petroleum and coal,114,30,11,4,19,10647,9712
Rubber products,43,7,16,1,19,3988,3625
Leather and leather products,65,17,10,14,24,11456,10460
"Stone, clay, and glass products",178,75,47,13,41,25237,20482
Primary metal industries,291,104,101,27,59,37788,33723
Fabricated metal products (except machinery and transportation equipment),442,165,126,30,121,32890,33393
Machinery (except electrical),514,211,116,44,143,80496,78975
"Electrical machinery, equipment, and supplies",283,107,65,49,61,99723,87300
Transportation equipment,305,106,106,22,74,54149,46141
Aircraft and parts,112,42,36,8,27,24100,21353
Ship and boat building and repairing,47,25,10,3,9,7510,5776
Automotive and other transportation equipment,146,39,61,11,35,22610,19012
"Professional, scientific, and controlling instruments",73,27,17,4,25,9104,7869
Miscellaneous manufacturing,174,74,43,13,44,17059,14985
"Agriculture, forestry, and fisheries",4,4,0,0,0,188,173
Mining,116,57,24,14,21,13996,13046
Metal mining,57,27,12,11,7,10673,10091
Coal mining,6,3,1,1,1,204,216
Crude petroleum and natural gas production,9,1,4,0,4,459,388
Nonmetallic mining and quarrying,44,26,7,2,9,2669,2351
Construction,74,49,6,4,15,8653,6310
Wholesale trade,498,246,71,28,153,16853,15007
Retail trade,705,379,63,9,252,20104,17416
"Finance, insurance, and real estate",45,19,4,4,18,11978,11317
"Transportation, communication, and other public utilities",557,308,86,34,129,89362,70021
Highway passenger transportation,34,19,1,1,13,1476,1335
Highway freight transportation,127,81,7,5,34,5059,4393
Water transportation,27,16,7,0,4,1587,768
Warehousing and storage,90,51,8,6,25,2288,1766
Other transportation,11,6,1,1,3,3860,3419
Communication,178,97,43,10,28,50666,39059
"Heat, light, power, water, and sanitary services",80,46,13,2,19,25026,20463
Services,204,156,22,8,40,12844,9255
