row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",1233,1070,893,47,130,7
Initial hearings,940,906,784,28,94,7
Hearings on objections and/or challenges,293,164,109,19,36,0
"Decisions issued, total",1140,1052,770,26,95,12
By Regional Directors,1106,1020,743,24,92,12
Elections directed,891,812,662,16,78,10
Dismissals on record.,215,196,81,8,14,2
By Board,34,32,27,2,3,0
Transferred by Regional Directors for initial decision,4,4,3,0,1,0
Elections directed.,3,3,3,0,0,0
........ ........... . •,1,1,0,0,1,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received,355,349,307,16,26,I
Withdrawn before request ruled upon,14,14,14,0,0,0
"Board action on request ruled upon, total",307,283,256,8,19,1
Granted.,72,61,55,2,4,o
Denied,222,214,193,6,15,1
Remanded,13,8,8,o,o,o
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",30,28,24,2,2,0
Regional Directors' decisions:,,,,,,
Affirmed.,11,11,9,2,o,o
Modified,2,2,1,0,i,o
Reversed,17,15,14,0,1,o
Outcome.,,,,,,
Election directed,15,15,13,i,1,0
Dismissals on record,IS,13,11,i,1,0
