row_label,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Indivduals,Identification of filing party — Employers
"All cases — Pending October 1, 1979",20324,8186,2325,760,707,6388,1958
All cases — Received fiscal 1980,57381,18733,6335,1830,1586,22692,6005
All cases — On docket fiscal 1980,77705,26919,8660,2590,2293,29080,7963
All cases — Closed fiscal 1980,55587,18057,6288,1678,1561,21930,6073
"All cases — Pending September 30, 1980",22118,8862,2372,912,732,7150,1890
"ULP — Pending October 1, 1979",16657,6422,1531,560,488,5924,1732
ULP — Received fiscal 1980,44063,12842,3558,1173,891,20551,5048
ULP — On docket fiscal 1980,60720,19264,5089,1733,1379,26475,6780
ULP — Closed fiscal 1980,42047,12128,3233,1009,837,19758,5082
"ULP — Pending September 30, 1980",18673,7136,1856,724,542,6717,1698
"Representation — Pending October 1, 1979",3464,1710,787,196,216,363,192
Representation — Received fiscal 1980,12400,5591,2925,639,644,1816,784
Representation — On docket fiscal 1980,15864,7301,3712,826,860,2179,986
Representation — Closed fiscal 1980,12618,5627,3009,647,680,1828,827
"Representation — Pending September 30, 1980",3246,1674,703,179,180,351,159
"Union-shop deauth — Pending October 1, 1979",98,,,,,98,
Union-shop deauth — Received fiscal 1980,301,,,,,301,
Union-shop deauth — On docket fiscal 1980,399,,,,,399,
Union-shop deauth — Closed fiscal 1980,323,,,,,323,
"Union-shop deauth — Pending September 30, 1980",76,,,,,76,
"AC — Pending October 1, 1979",15,13,1,0,1,0,0
AC — Received fiscal 1980,72,39,19,10,5,4,5
AC — On docket fiscal 1980,87,52,20,10,6,9,5
AC — Closed fiscal 1980,78,46,11,11,4,,
"AC — Pending September 30, 1980",9,6,,0,1,,
"UC — Pending October 1, 1979",90,41,6,4,2,3,34
UC — Received fiscal 1980,545,261,42,22,42,20,158
UC — On docket fiscal 1980,635,302,48,26,44,23,192
UC — Closed fiscal 1980,521,256,35,18,35,18,159
"UC — Pending September 30, 1980",114,46,13,8,9,5,33
