row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
East South Central__,266,135,12,119,32315,29816,14604,895,14317,13096
Kentucky,84,43,6,35,8359,7617,4613,332,2672,5152
Tennessee,115,63,4,48,14.466,13572,6130,438,6954,5201
Alabama,45,18,1,26,6686,6060,2782,67,3211,1784
Mississippi,22,11,1,10,2804,2617,1079,58,1480,959
West South Central_,409,222,20,167,35278,31542,15592,3539,12411,21389
Arkansas,58,32,0,26,5406,4991,2041,0,2450,2609
Louisiana,77,46,6,25,5986,5530,3063,536,1931,4068
Oklahoma,52,29,0,23,2547,2383,1208,35,1140,1222
Texas,222,115,14,93,21339,18638,8780,2968,6890,13490
Mountain,220,138,17,65,20081,17065,7828,5576,3661,15771
Montana,18,11,3,4,9433,7234,2837,4220,171,9402
Idaho,17,11,0,6,527,494,257,0,237,257
Wyoming,9,4,0,5,253,234,126,", 0",108,79
Colorado,92,58,2,32,3835,3619,1832,28,1759,1483
New Mexico,23,16,2,5,1491,1371,718,434,219,1278
Arizona,47,- 29,9,9,4279,3882,1923,849,1110,3087
Utah,8,4,0,4,162,144,91,7,46,87
Nevada,6,5,1,0,101,87,44,32,11,101
", Pacific",482,268,32,182,32276,28210,14075,3764,10371,18419
Washington,68,49,1,18,2292,2069,1135,456,478,1749
Oregon,45,20,3,22,2497,2231,1351,295,585,1700
California,369,199,28,142,27487,23910,11589,3013,9308,14970
Outlying areas,100,62,,,,,2609,1333,,4681
,,,14,24,6284,5288,,,1346,
Alaska,11,10,1,0,335,278,233,33,12,335
Hawaii,32,20,3,9,1561,1452,642,303,507,1093
Puerto R Ica__,56,31,10,15,4360,3539,1720,997,822,3225
Virgin Islands,1,1,0,0,28,19,14,0,5,28
