row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challen- ges, total","1,32o",1262,1127,41,94,15
By regional directors,318,303,272,11,20,9
By Board,1002,959,855,30,74,6
In stipulated elections,953,916,815,29,72,5
No exceptions to regional direc- tors' reports,522,494,433,21,40,4
Exceptions to regional directors' reports,431,422,382,8,32,1
In directed elections (after transfer by regional director),46,40,37,1,2,1
Review of regional directors' supple- mental decisions Request for review received,187,184,180,2,2,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on requests ruled upon, total",188,177,173,2,2,0
Granted,22,22 154,21 151,1,0,0
,162,,,1,2,0
Denied Remanded,4,1,1,0,0,0
"Withdrawn after request granted, before Board review",0,,0,0,,
,,0,,,0,0
"Board decision after review, total.",3,3,3,0,0,0
Regional directors' decisions Affirmed,1 1,1,1,0,0,0 0
Modified Reversed,' 1,1 1,1 1,0 0,0 0,0
