Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total employees in units choosing representation
New England,463,238,121,92,11,14,225,40946,35316,15795,7850,2118,2960,13614,13316,
Middle Atlantic,1335,799,408,247,74,70,536,98921,82795,54919,27820,7058,3842,15999,28286,
East North Central,2018,1073,571,326,133,43,945,113767,100536,55564,31278,11826,5066,44972,45057,
West North Central,732,419,224,164,21,10,313,46815,40421,28253,14313,8634,4080,1226,29110,
