row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Accepted Declined,"8,952 1,081","8,952 1,081","7,941 629",14 24,1 9,260 173,736 246,,,,,,
Employees placed on prefer- ential hiring list Hiring hall rights restored Objections to employment withdrawn,"3,915 560",3915,3601,26,14,20,254,560 98,25 66,14,0,520 14,1
,98,,,,,,,,,15,0,,3
Employees receiving backpay From either employer or union,15566,15357,11551,216,33,893,2664,209,83,1,0,96,29
From both employer and union,76,76,65,0,0,10,1,76,65,0,0,10,1
"Employees reimbursed for fees, dues, and fines From either employer or union",1681,754,594,20,10,10,120,927,340,10,OC,567,10
From both employer and union,122,122,100,0,0,22,0,122,100,0,0,22,0
"By amounts of monetary re- covery, total",32424132,31834059,10619010,217612,147938,4425595,16423904,590073,151790,2926,0,344405,90962
"Bacicpay (Includes all mone- tary payments except fees, dues, and fines) Reimbursement of fees, dues,",32135914,31639996,10435149,215624,147838,4424241,16417144,496918,103340,2376,0,299306,90897
and fines,288218,194063,183861,1988,100,1354,6760,94155,48450,550,0,45100,55
