row_label,col_1,col_2,col_3
McCormick Steamship Co. at al McDaniel &Sons. Inc McQuay-Norris Manufacturing Co,"Jan. 30,1939 Feb. 17,1939 Mar. 9,1939 Feb. 17,1939 July 29, 1938","Jan. 30, 1939 Feb. 21, 1939 Mar. 11,1939","(I) • June 28,1939"
,,Feb. 21.1939,
M. A. Gotfried,,,"June 28,1939"
"Maloney Trucking & Storage, Inc",,"Jan. 19, 1939","Feb. 11, 1939"
Marron Corporation,"Feb. 20, 1939","Feb. 20, 1939",
Marine Terminals Corporation et al Markham &Callow. Inc,"Jan. 30, 1939 May Ft, 1939","Jan. 31, 1939 May. 8, 1939",FI)1 (I)
Marlboro Cotton Mills,"Apr. 13, 1939","Apr. 13,1939",
Do,do,do,2) 2 )
Matson Navigation Co. et al,"Jan. 30,1939","Jan. 31, 1939",(I )
"Max Ams, Inc",,,(2)
"May Knitting Co., Inc","Dec. 27,1938","Dec. 30,1938","Nov. 17, 1938"
May's Manufacturing Co,"Oct. 3,1938 Dec. 8, was","Oct. 6,1938 Dec. 8,1938","Jan. 25,1939"
Medusa Portland Cement Co,"Mar. 17,1939",Mar.,
Merrimac Hat Corporation,"Apr. 24, 1939","29,1939 Apr. 24,","May 25,1939"
Merrimac Manufacturing Co,"Sept. 26, 1938","1939 Sept. 27,","Oct. 12,1938"
Do,do,1938 do,Do.
Metropolitan Stevedoring Co. et al,"Jan. 30, 1939","Jan. 31, 1939",
M. G. M. Corporation Do,"Sept. 8,1938 Aug.","Oct. 19, 1938",
Do,"29, 1938","Oct. 9, 1938",
"Mill B, Inc","Aug. 30,1938 kpr. 7,1939","Oct. 17,1938 Apr. 7,1939","(I) May 27,1939"
Miller Abbatoire Co,"Nov. 17, 1938",Nov.,
Milton Bradley Co,"May 11, 1939","18,1939 May 11, 1939",:)
Milwaukee Publishing Co,"July 14,1938","July 19,1938","9,1938"
Minneapolis Moline Power Implement Co M. 0. Best Co,"June 5, 1939","June 6,1939",(1) :rune 28.1939
,"Feb. 17, 1939",Feb. 21. 1939,"Sept. 29,"
"Mobile Stevedoring Co., Inc","July 18, 1938",July 26. 1938,1988
Monterey Canning Co,"Jan 9,1939",Jan. 11.1939,"Jan. 31, 1939"
"Monument Mills Mooremack Gulf Lines, Inc","Oct. 13.1938 Mar. 20,1939","Oct. 14, 1938","Dec. 7,1938 (I)"
Motor Products Corporation,"June 1, 1939","June 7, 1919",(1)
National Can Co,"Apr. 17,1939","Apr. 19, 1939",(1)
National Carbon Co,,"Apr. 20,1939",
National Can Co,"Apr. 13,1939 17,1939","Apr. 19, 1939",(0
National Motor Rebuilding Corporation,"13, 1939","Mar. 20, 1939",
,Apr.,"Mar. 21, 1939",
National Sugar Refining Co National Sugar Refining Co. of New Jersey,"Mar. Mar. 20, 1939",do,
National Sugar Refining Co Naumkeag Steam Cotton Co,"do Nov. 14, 1938 Feb. 16,1939","Nov. 17, 1934 Feb. 21, 1939","Jan. 25, (I)"
,do,do,1939
Do,"July 18,1938","July 26, 1938","Sept. 29, 1938"
"N. D. Cunningham, doing business as Van Heynigen Co___ New England Spun Silk Corporation","Jan. 12,1939","Jan. 12, 1939","Mar. 1,"
New Era Die Co,"Mar. 23, 1939 Feb. 9, 1939","Mar. 24, Feb. 9, 1939","1939 (0 Apr. 25, 1939"
"New Orleans Compress, Inc New York &Cuba Mall Steamship Co",Aug. 29.1938,"Aug. 29,","Oct. 5,1938"
"New York Post, Inc","Apr. 27, 1939","Apr. 28,",(I)
,"Oct. 10, 1938","1938 Oct. 10,",(0
"North American Aviation, Inc",do,1939 1938 do,(0
"Do Northwest Publications, Inc","Sept. 19, 1938 July 18,1938","Sept. 22, 1938","Oct. 27,1938 Sept. 29,1938"
Norton Lilly &Co,,"July 26, 1938",Do.
Ocean Dominion Steamship Corporation,do,do,
"Oceanic Stevedoring Co. of Alabama, Inc",do,do,"Do. Sept. 21,1938"
Oglesby Granite Quarries Ohio Brass Co,"July 25, 1938 Jan. 30, 1939","do Jan. 31, 1939","June 3,1939"
"Ohio Greyhound Lines, Inc","Jan. 23,1939","Jan. 27, 1939",(I)
Oppenheimer Casing Co,"Apr. 13, 1939","Ann 14, 1939",(0 May
Oregon Washington Plywood Co dr,"Mar. 30,1939","Mar. 30,1939",
Outer Harbor Dock Wharf Co. et al,"Jan. 30,1939","Jan. 31,1930",(0
"Pacific Mills, C-eheco division","Oct. 18, 1938 Aug. 10, 1938","Oct. 18,1939 Aug. 25,","20,1939 Dec. 1,1938 Sept. 28, 1938"
Pan-American Petroleum &Transport Co,"July 18,1938",,"Sept. 29,1938"
Pan-Atlantic Steamship Corporation,,"233, 1938","Jan. 4,1939"
Paper. Calmenson &Co,"Sept. 10,1938 Aug. 30,1938","July Sept. 15, Oct.",
"Paramount Pictures, Inc Do","Sept. 8,1938","1938 17,1938 Oct.",(0
,"Sept. 22,1938",Oct.,
Paramount Pictures et aL Do,"Oct. 3,1938","19,1938 Oct. 24,",
"Paramount Pictures, Inc","Aug. 29,1938","20,1938 Oct. 6,","Sept. 29,"
Pate Stevedore Co,"July 18,1938","1938 July 26,",0)
Paul Finkelstein Sons,"May 15, 1939","1938 May 17,",
