Expenditure category,Amount
Salaries,6652933
Travel,775987
Transportation of things,13717
Communication services,220636
Rents and utility services,377012
Printing and reproduction,239450
Other contractual services,152484
Supplies and materials,97261
Equipment,65453
"Grand total, obligations, and expenditures for salaries and expenses",8594933
