Affiliation of participating unions,Number of elections — Total,Number of elections — In which representation rights were won by — AFL affiliates,Number of elections — In which representation rights were won by — CIO affiliates,Number of elections — In which representation rights were won by — Unaffiliated unions,Number of elections — In which no representative was chosen,Number of employees involved — Total,Number of employees involved — In which AFL affiliates,Number of employees involved — CIO affiliates,Number of employees involved — Unaffiliated,Number of employees involved — In units in which no representative was chosen,Total valid votes cast
Total,4215,1721,804,324,1366,515995,140017,147614,91331,137033,453442
1-union elections,3227,1345,557,324,1001,,,,,,
A.F. of L. only,1996,1345,,,882,145679,69722,,,73917,127228
C.I.O. only,986,,557,,439,100734,,53097,,,
Unaffiliated only,207,,,149,58,11913,,,8089,3824,9387
2-union elections,968,358,245,,365,,,,,,
A.F.L. – C.I.O.,538,138,126,,274,69023,17946,80933,,37847,57167
3-union elections,20,4,1,10,5,,,,,,
