Method and stage of disposition,All C cases — Number,All C cases — Percent of total cases closed,CA cases — Number,CA cases — Percent of total cases closed,CB cases — Number,CB cases — Percent of total cases closed,CC cases — Number,CC cases — Percent of total cases closed,CD cases — Number,CD cases — Percent of total cases closed,CE cases — Number,CE cases — Percent of total cases closed,CG cases — Number,CG cases — Percent of total cases closed,CP cases — Number,CP cases — Percent of total cases closed
Total number of cases closed,30090,100.0,21156,100.0,7436,100.0,958,100.0,236,100.0,32,100.0,37,100.0,235,100.0
Agreement of the parties,9390,31.2,7367,34.8,1388,18.6,153,16.0,35,14.8,12,37.5,14,37.8,98,41.7
Informal settlement,9142,30.4,7255,34.2,1278,17.2,151,15.8,33,14.0,12,37.5,12,32.4,86,35.7
Informal settlement — Before issuance of complaint,6564,21.8,4966,23.5,944,12.7,86,9.0,28,11.9,9,28.1,8,21.6,65,27.6
"Informal settlement — After issuance of complaint, before opening of hearing",2540,8.4,2061,9.7,330,4.4,64,6.7,5,2.1,3,9.4,4,10.8,16,6.8
"Informal settlement — After hearing opened, before issuance of administrative law judge's decision",38,0.1,28,0.1,4,0.1,1,0.1,0,0.0,0,0.0,0,0.0,5,2.1
Formal settlement,248,0.8,108,0.5,60,0.8,6,0.6,4,0.4,0,0.0,2,5.4,12,5.1
Compliance with administrative law judge's decision,797,2.6,638,3.0,130,1.7,18,1.9,5,2.1,0,0.0,2,5.4,4,1.7
