Affiliation of participating unions,Employees eligible to vote,Total valid votes cast,Percent casting valid votes,Valid votes cast for winning unions / A.F.L. affiliates,Valid votes cast for winning unions / C.I.O. affiliates,Valid votes cast for winning unions / Unaffiliated,Valid votes cast for losing unions / A.F.L. affiliates,Valid votes cast for losing unions / C.I.O. affiliates,Valid votes cast for losing unions / Unaffiliated,Valid votes cast for no union
Total,584000,498250,85.3,144214,120549,70925,34360,44195,20602,54755
One-union election,,,,,,,,,,
A.F.L.,119524,96361,80.6,96361,,,,,,20139
C.I.O.,87433,67496,77.0,,67496,,,,,21365
Unaffiliated,17831,15765,88.3,,,15765,,,,2066
Two-union elections,,,,,,,,,,
Three-union elections,,,,,,,,,,
