row_label,Fiscal year 1977 / Number of proceedings / Total,Fiscal year 1977 / Number of proceedings / Vs. employers only,Fiscal year 1977 / Number of proceedings / Vs. unions only,Fiscal year 1977 / Number of proceedings / Vs. both employers and unions,Fiscal year 1977 / Number of proceedings / Board dismissal,Fiscal year 1977 / Percentages / Vs. employers only,Fiscal year 1977 / Percentages / Vs. unions only,Fiscal year 1977 / Percentages / Vs. both employers and unions,Fiscal year 1977 / Percentages / Board dismissal,"July 5, 1935-Sept. 30, 1977 / Number","July 5, 1935-Sept. 30, 1977 / Percent"
Proceedings decided by U.S. courts of appeals,289,240,41,4,4,,,,,6523,
On petitions for review and/or enforcement,260,215,37,4,4,100.0,100.0,100.0,100.0,,
Board orders affirmed in full,177,148,27,4,,67.9,73.0,100.0,,4118,63.3
Board orders affirmed with modification,31,28,3,,,13.0,8.1,,,1059,16.2
Remanded to Board,10,3,3,,,1.4,8.1,,,288,4.4
Board orders partially affirmed and partially remanded,2,0,0,0,,0.9,0,,,99,1.5
Board orders set aside,40,36,4,,,16.7,10.8,,,949,14.6
On petitions for contempt,29,25,4,,,100.0,100.0,,,,
"Compliance secured after filing of petition, before court action",6,5,1,,,20.0,25.0,,,,
Court orders holding respondent in contempt,23,20,3,,,80.0,75.0,,,,
Court orders denying petition,0,0,0,,,0,0,,,,
Proceedings decided by U.S. Supreme Court,2,1,1,,,,,,,217,
Board orders affirmed in full,2,1,1,,,,,,,130,59.9
Board orders affirmed with modification,0,0,0,,,,,,,16,7.3
Board orders set aside,0,0,0,,,,,,,34,15.6
Remanded to Board,0,0,0,,,,,,,18,8.3
Remanded for repeal or modification of enforcement order denied,0,0,0,,,,,,,16,7.3
Contempt cases remanded to courts of appeals,0,0,0,,,,,,,1,0.5
Contempt cases enforced,0,0,0,,,,,,,2,0.9
