Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
New England — Division subtotal (RD),22,7,6,1,0,0,15,876,662,240,211,1,0,,422,392
Middle Atlantic — Division subtotal (RD),64,16,13,6,0,3,48,2051,,1309,1095,,,,1005,1232
East North Central — Division subtotal (RD),156,50,37,11,0,2,108,7569,6446,2946,3411,,,,3500,3450
