Action taken,Total all,Remedial action taken by-- / Employer / Total,Remedial action taken by-- / Employer / Pursuant to-- / Agreement of parties / Informal settlement,Remedial action taken by-- / Employer / Pursuant to-- / Agreement of parties / Formal settlement,Remedial action taken by-- / Employer / Pursuant to-- / Recommendation of administrative law judge,Remedial action taken by-- / Employer / Pursuant to-- / Order of-- / Board,Remedial action taken by-- / Union / Total,Remedial action taken by-- / Union / Pursuant to-- / Agreement of parties / Informal settlement,Remedial action taken by-- / Union / Pursuant to-- / Agreement of parties / Formal settlement,Remedial action taken by-- / Union / Pursuant to-- / Recommendation of administrative law judge,Remedial action taken by-- / Union / Pursuant to-- / Order of-- / Board
A. By number of cases involved,20980,,,,,,,,,,
Notice posted,1950,1555,1451,7,31,38,28,395,380,1,1
Recognition or other assistance withdrawn,17,17,14,0,1,2,0,,,,
Employer-dominated union disestablished,13,13,10,0,2,1,0,,,,
Employees placed on preferential hiring list,1224,1224,1182,1,6,22,13,,,,
Hiring hall rights restored,58,58,58,0,0,0,0,,,,
Hiring hall rights restored,10,,,,,,,10,9,0,1
Objections to employment withdrawn,6,,,,,,,6,6,0,0
Picketing ended,127,,,,,,,127,127,0,0
Work stoppage ended,29,,,,,,,29,29,0,0
Collective bargaining begun,2533,2386,2332,1,17,19,17,147,142,0,2
Backpay distributed,1811,1763,1705,1,7,34,18,48,45,0,1
"Reimbursement of fees, dues and fines",182,64,61,0,0,2,1,118,116,0,2
Other conditions of employment improved,0,0,0,0,0,0,0,0,0,0,0
Other remedies,0,0,0,0,0,0,0,0,0,0,0
B. By number of employees affected,,,,,,,,,,,
"Employees offered reinstatement, total",4549,4549,4474,0,9,37,29,,,,
Accepted,3857,3857,3831,0,4,9,13,,,,
