Identification,Total — Number,Total — Percent by type,By employer — Number,By employer — Percent by type,By union — Number,By union — Percent by type,By both parties — Number,By both parties — Percent by type
All representation elections,299,100.0,109,36.5,182,60.9,8,2.6
By type of case — RC cases,267,100.0,104,39.0,155,58.1,8,2.9
By type of case — RM cases,6,100.0,0,,6,100.0,0,
By type of case — RD cases,26,100.0,5,19.2,21,80.8,0,
By type of election — Consent elections,3,100.0,0,,3,100.0,0,
By type of election — Stipulated elections,213,100.0,71,33.3,138,64.8,4,1.9
By type of election — Expedited elections,0,,0,,0,,0,
By type of election — Regional Director-directed elections,83,100.0,38,45.8,41,49.4,4,4.8
By type of election — Board-directed elections,0,,0,,0,,0,
