Type of election,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification
All types,2309,2,30,2277,2045,2,30,2013,90,0,0,90,174,0,0,174
Consent elections,234,0,0,234,203,0,0,203,7,0,0,7,24,0,0,24
Stipulated elections,1611,1,22,1588,1434,1,22,1411,60,0,0,60,117,0,0,117
Regional director-directed,438,1,8,429,390,1,8,381,15,0,0,15,33,0,0,33
Board-directed,17,0,0,17,17,0,0,17,0,0,0,0,0,0,0,0
Expedited—see 8(b)(7)(C),,,,,,,,,,,,,,,,
