Action,Total,A. F. of L. affiliates,CIO affiliates,Unaffiliated unions,Individuals
A. NLRA Sec 8 — Cases — Notice posted,250,81,118,31,20
A. NLRA Sec 8 — Cases — Company union disestablished,23,2,19,1,1
A. NLRA Sec 8 — Cases — Workers placed on preferential hiring list,17,5,10,2,0
A. NLRA Sec 8 — Cases — Collective bargaining begun,67,30,29,8,0
A. NLRA Sec 8 — Workers — Workers reinstated to remedy discriminatory discharge,833,276,416,116,25
A. NLRA Sec 8 — Workers — Strikers reinstated,169,0,169,0,0
A. NLRA Sec 8 — Workers — Workers receiving back pay,1051,308,671,50,22
A. NLRA Sec 8 — Back pay awards,401370,96160,273050,16320,15840
B. LMRA Sec 8(a) — Cases — Notice posted,122,42,7,18,55
B. LMRA Sec 8(a) — Cases — Company union disestablished,14,1,2,11,0
B. LMRA Sec 8(a) — Cases — Workers placed on preferential hiring list,33,8,1,12,12
B. LMRA Sec 8(a) — Cases — Collective bargaining begun,106,90,7,9,0
B. LMRA Sec 8(a) — Workers — Workers reinstated to remedy discriminatory discharge,148,81,9,4,54
B. LMRA Sec 8(a) — Workers — Strikers reinstated,0,0,0,0,0
B. LMRA Sec 8(a) — Workers — Workers receiving back pay,145,59,0,9,73
B. LMRA Sec 8(a) — Back pay awards,26260,6000,540,920,18800
