row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
B. By number of employees affected:.,,,,,,,,,,,,,
"Employees offered rein- statement, total",4165,4165,2963,134,177,578,313,,,,,,
Accepted Dec'mod,"3,722 443","3,722 443","2,739 224",88 46,177,506,212 101,,,,,,
Employees placed on pref- erential hiring list .,244,244,210,0,0,34,0,0,0,0,0,0,0
Hiring hall nghts restored,85,,,,,,,85,85,0,0,0,0
Objections to employment withdrawn Employees receiving back-,14,,,,,,,14,12,0,0,0,2
pay- From either employer or union,20778,20248,10736,434,560,6625,1893,530,170,14,0,335,11
From both employer and umon,19,16,15,,0,1,0,3,3,0,0,0,0
"Employees reimbursed for fees, dues, and fines From either employer or union",1260,637,277,15,1,342,2,623,258,0,30,335,0
From both employer and union,170,90,43,0,0,0,47,80,80,0,0,0,0
