Method and stage of disposition,All C cases — Number,All C cases — Percent of total cases closed,CA cases — Number,CA cases — Percent of total cases closed,CB cases — Number,CB cases — Percent of total cases closed,CC cases — Number,CC cases — Percent of total cases closed,CD cases — Number,CD cases — Percent of total cases closed,CE cases — Number,CE cases — Percent of total cases closed,CG cases — Number,CG cases — Percent of total cases closed,CP cases — Number,CP cases — Percent of total cases closed
Supreme Court action,13,0.0,8,0.0,4,0.1,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0
Withdrawal,9440,31.4,6068,28.7,2169,29.1,311,32.4,1,0.4,10,31.2,16,43.2,70,29.7
Withdrawal — Before issuance of complaint,9202,30.6,5919,28.0,2135,28.7,298,31.1,1,0.4,10,31.2,15,40.5,68,28.9
Dismissal,10141,33.8,6232,29.4,3736,50.2,116,12.1,0,0.0,9,28.1,7,18.9,61,25.9
Dismissal — Before issuance of complaint,9902,32.9,6020,28.4,3693,49.6,115,12.0,0,0.0,9,28.1,6,16.2,59,25.1
