row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Maine,7,2,2,0,0,0,5,738,667,255,255,0,0,0,412,80
New Hampshire,6,3,2,1,0,0,3,154,140,94,10,84,0,0,46,82
Vermont,3,2,1,1,0,0,1,64,59,32,26,6,0,0,27,52
Massachusetts,106,66,51,11,2,2,40,4655,4046,2167,1463,249,372,83,1879,1972
Rhode Island,12,6,3,0,3,0,6,1646,1554,1044,422,2,620,0,510,842
Connecticut,60,31,6,12,3,10,29,3729,3368,1594,846,225,132,391,1774,1422
New England,194,110,65,25,8,12,84,10986,9834,5186,3022,566,1124,474,4648,4450
New York,320,159,109,23,1,26,161,18294,15542,7520,5370,731,412,1007,8022,6661
New Jersey,147,65,40,17,3,5,82,8799,7490,3825,2446,570,175,634,3665,3485
Pennsylvania,261,114,71,27,5,11,147,16050,14436,6371,4295,1089,107,880,8065,4738
Middle Atlantic,728,338,220,67,9,42,390,43143,37468,17716,12111,2390,694,2521,19752,14884
Ohio,247,97,65,25,6,1,150,13835,12744,5362,4025,927,339,71,7382,3678
Indiana,122,55,23,28,0,4,67,6715,6413,2805,1791,840,15,159,3608,2287
Illinois,203,96,50,25,12,9,107,6955,6129,2930,1719,493,251,467,3199,2626
Michigan,307,153,99,44,3,7,154,17048,14815,7435,5809,885,162,579,7380,6675
Wisconsin,86,37,22,11,0,4,49,4758,4289,2187,1415,366,2,404,2102,1590
East North Central,965,438,259,133,21,25,527,49311,44390,20719,14759,3511,769,1680,23671,16856
Iowa,44,19,11,7,0,1,25,1408,1211,559,372,161,0,26,652,500
Minnesota,73,38,24,10,0,4,35,3093,2775,1352,820,292,0,240,1423,1270
Missouri,117,57,34,18,5,0,60,5009,4380,2013,1165,644,204,0,2367,1754
North Dakota,2,2,2,,0,0,0,,,17,17,0,0,0,1,22
South Dakota,4,3,,0,0,0,1,22,18,100,70,30,0,0,109,109
Nebraska,14,9,3 7,0 2,0,0,5,231 360,209 317,203,147,56,0,0,114,307
Kansas,30,14,8,5,o,1,16,1451,1326,501,327,146,0,28,825,439
West North Central,284,142,89,42,5,6,142,11574,10236,4745,2918,1329,204,294,5491,4401
