row_label,col_1,col_2
"Republic Steel Co., Truscon Steel Co., Gadsden Plant",(1),
"Republic Steel Corp., Union Drawn Division, Hartford Plant",(1),
"Riverside & Dan River Cotton Mill, Inc",42,843
Roloson Tent & Awning Co,(1),
"Rushton Co., The, and/or The Atlantic Playthings Co., W. W. Rushton and Mrs. Mary Rushton, d/b/a",43,1358
"Sagamore Ore Mining Co., and Pickands, Mather & Co",44,86
Scully Steel Co,42,1141
Scully Steel Products Co,44,89
Scully Steel Products Co,(1),
Snyder Mining Co,,
Sorg Paper Co,(1),
South Carolina Electric & Gas Co,(1),
Sperry Gyroscope Co,(1),
Staley Mfg. Corp,(1),
Standard Trouser Co,(1),
Statton Furniture Mfg. Co,,
"Susquehanna Ore Co., and Republic Steel Corp",(1),
"Tennessee Coal, Iron & R. R Co",(1),
"Tennessee Coal, Iron & R. R. Co",(1),
"Tennessee Coal, Iron & R. R. Co., Rail Transportation Works_ _",(1),
Tension Envelope Corp,,
"Thiesing Veneer Co Tidewater Associated Oil Co., Associated Division",(1) 43,337
"Tidewater Associated Oil Co., Automotive Department, Associated Division",,
"Timken Ordnance Co., The Timken Roller Bearing Co",(1) 42,1190
Timken Roller Bearing Co,(1),
Timken Roller Bearing Co,(1),
,(1),
Truscon Steel Products,,
Union Oil Co. of California,42,927
United Motors Service,,
"United Motors Service, Inc., San Francisco, Calif",(1),
"United Motors Service, Inc., Vernon, Calif",(1),
Universal Atlas Cement Co,42,1132
Universal Atlas Cement Co,42,1135
Universal Glove Co,(1),
"Vickers, Inc",42,924
Virginia Bridge Co,42,1138
