State,Number of elections and cross checks,Elections and cross checks won by— / A. F. of L. affiliates,Elections and cross checks won by— / C. I. O. affiliates,Elections and cross checks won by— / Unaffiliated unions,Elections and cross checks won by— / No union,Eligible voters,Valid votes cast / Total,Valid votes cast / A. F. of L. affiliates,Valid votes cast / C. I. O. affiliates,Valid votes cast / Unaffiliated unions,Valid votes cast / Against unions
Total,6920,2196,2138,860,1726,934553,805474,208524,288381,124827,183742
Alabama,119,43,40,2,34,19120,16849,5707,5465,168,5509
Arizona,16,6,2,2,6,1773,1562,290,743,319,210
Arkansas,116,47,38,3,28,9158,7923,2925,3168,36,1794
California,454,143,132,57,122,87839,77681,25488,32052,10443,9698
Colorado,70,36,11,8,15,2278,1923,677,403,259,584
Connecticut,91,26,31,14,20,21652,18898,2341,12559,996,3002
Delaware,17,5,5,2,5,2493,2202,299,519,367,1017
District of Columbia,38,11,11,3,13,2488,2165,662,568,194,741
Florida,113,46,15,21,31,8980,6965,2438,1958,554,2015
Georgia,147,33,56,7,51,18350,16475,2521,5532,237,8185
Idaho,6,2,3,0,1,156,130,12,68,0,50
Illinois,478,148,136,70,124,90289,77262,23065,28561,9422,16214
Indiana,222,78,55,20,69,27491,23870,6094,10724,1935,5117
Iowa,94,30,26,21,17,11279,9732,1409,4573,2165,1585
Kansas,75,25,23,12,15,8451,7392,1689,3210,1215,1278
Kentucky,142,60,25,18,39,15115,12582,3847,3472,1736,3527
Louisiana,111,34,38,10,29,9561,7735,2168,2953,536,2078
Maine,38,12,7,9,10,5476,4869,1998,932,573,1366
Maryland,118,45,26,17,30,14241,12065,2154,2955,2455,4501
Massachusetts,286,81,99,32,74,40146,35269,6914,16655,3450,8250
Michigan,285,82,113,31,59,22382,18939,4268,6362,2908,5401
Minnesota,94,23,41,17,13,11448,9903,1236,5662,1787,1218
Mississippi,77,18,28,0,31,8394,7497,1703,2884,29,2881
Missouri,199,74,52,32,41,16990,14136,4056,3557,3109,3414
Montana,13,7,5,0,1,494,388,224,129,7,28
Nebraska,42,20,4,10,8,3409,3010,933,221,1286,570
Nevada,2,1,0,0,1,34,34,4,1,13,16
New Hampshire,26,7,4,3,12,4332,3959,514,638,494,2313
New Jersey,295,94,112,39,50,54037,46736,14241,12869,13940,5686
New Mexico,14,10,2,0,2,1199,980,283,593,46,58
New York,730,222,246,126,136,90084,77092,21755,25327,16684,13326
North Carolina,163,43,66,7,47,37814,32230,6937,11785,1136,12372
North Dakota,8,3,1,0,4,685,530,169,279,0,82
Ohio,465,125,155,71,114,62682,54387,7271,21042,13088,12986
Oklahoma,76,16,21,14,25,6416,5644,885,1755,1156,1848
Oregon,124,40,34,13,37,6736,5465,2110,1796,275,1284
Pennsylvania,418,106,152,48,112,51964,45874,7997,17012,7367,13498
Rhode Island,41,8,11,12,10,9085,8086,817,2825,3577,867
South Carolina,48,11,27,0,10,7949,6915,1295,4051,23,1546
South Dakota,12,7,0,0,5,142,128,72,0,0,56
Tennessee,174,51,48,19,56,33362,28742,9879,7616,3092,8155
Texas,317,95,96,34,92,40263,34153,8345,9739,8431,7638
Utah,1,0,1,0,0,2490,2173,991,1168,0,14
Vermont,25,6,11,1,7,1624,1450,329,444,274,403
Virginia,168,68,37,17,46,23319,20192,4584,5236,5156,5216
Washington,85,46,19,9,11,8904,6925,2982,2752,538,653
West Virginia,66,34,15,1,16,11718,10092,5084,3052,600,1356
Wisconsin,70,30,11,16,13,14414,11477,5916,1021,1975,2565
Wyoming,11,4,4,1,2,740,657,26,248,24,359
Alaska,1,0,0,0,1,14,13,0,6,0,7
Hawaii,115,32,43,9,31,4703,3870,832,1241,646,1151
Puerto Rico,4,2,0,2,0,390,248,88,0,106,54
