row_label,Participating unions,Total elections,Percent won,Elections won by unions Total,Won by AFL-CIO affiliates,Won by Teamsters,Won by Other national unions,Won by Other local unions,Elections in which no representative was chosen,Employees eligible Total,Eligible in units AFL-CIO affiliates,Eligible in units Teamsters,Eligible in units Other national unions,Eligible in units Other local unions,Eligible in units where no representative chosen
Total RM elections,386,44.0,170,103,50,8,9,216,18667,9675,6932,1398,277,1768,8422
1-union elections — AFL-CIO,229,39.7,91,91,,,,138,11333,4316,4316,,,,7017
1-union elections — Teamsters,110,42.7,47,,47,,,63,2722,,1361,,,1361,
1-union elections — Other national unions,12,36.6,7,,,7,,,,,,,,,
1-union elections — Other local unions,15,30.0,9,,,,9,,,,,,,,
2-union elections — AFL-CIO v AFL-CIO,11,54.5,6,6,,,,,,,,,,,
2-union elections — AFL-CIO v Teamsters,4,80.0,4,2,2,,,,,,,,,,
