row_label,Size of establishment (number of employees),Total / Number of situations,Total / Percent of all situations,Total / Cumulative percent of all situations,Type of situations / CA / Number of situations,Type of situations / CA / Percent by size class,Type of situations / CB / Number of situations,Type of situations / CB / Percent by size class,Type of situations / CC / Number of situations,Type of situations / CC / Percent by size class,Type of situations / CD / Number of situations,Type of situations / CD / Percent by size class,Type of situations / CE / Number of situations,Type of situations / CE / Percent by size class,Type of situations / CP / Number of situations,Type of situations / CP / Percent by size class,Type of situations / CA-CB combinations / Number of situations,Type of situations / CA-CB combinations / Percent by size class,Type of situations / Other C combinations / Number of situations,Type of situations / Other C combinations / Percent by size class
Total,13424,100.0,,9216,100.0,2840,100.0,603,100.0,337,100.0,34,100.0,333,100.0,746,100.0,172,100.0,
Size-bracket,,,,,,,,,,,,,,,,,,,,
