Type of action,Fiscal Year 2001 — Number of proceedings — Total,FY2001 — Number of proceedings — Vs. employers only,FY2001 — Number of proceedings — Vs. unions only,FY2001 — Number of proceedings — Vs. both employers and unions,FY2001 — Number of proceedings — Board dismissed,FY2001 — Percentages — Vs. employers only,FY2001 — Percentages — Vs. unions only,FY2001 — Percentages — Vs. both employers and unions,FY2001 — Percentages — Board dismissed,"July 5, 1935-Sept. 30, 2001 — Number","July 5, 1935-Sept. 30, 2001 — Percent"
Proceedings decided by U.S. courts of appeals,159,153,6,0,2,,,,,,
On proceedings for review and/or enforcement,118,114,4,0,0,100.0,100.0,,100.0,11585,100.0
On petitions for review and/or enforcement — Board orders affirmed in full,74,72,2,0,0,63.2,50.0,,,7642,66.0
On petitions for review and/or enforcement — Board orders affirmed with modification,10,10,0,0,0,8.8,,,,1538,13.3
On petitions for review and/or enforcement — Remanded to Board in full,15,13,2,0,0,11.4,50.0,,,584,5.0
On petitions for review and/or enforcement — Board orders affirmed in part and remanded in part,7,7,0,0,0,6.1,,,,260,2.2
On petitions for review and/or enforcement — Board orders set aside,12,12,0,0,0,10.5,,,,1561,13.5
On petitions for contempt,12,12,0,0,0,,,,,,
Proceedings decided by U.S. Supreme Court,1,1,0,0,0,100.0,,,,258,100.0
