Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Employees eligible to vote,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing union representation
New England,535,225,122,49,140,97935,87052,18418,31791,21226,15677,81630
Maine,33,12,7,0,10,5207,4820,1741,1415,715,953,4433
New Hampshire,39,23,8,0,9,9000,7701,1981,1985,879,2229,7034
Massachusetts,266,114,53,33,66,57467,50971,7366,18489,17520,8649,47109
Rhode Island,63,32,11,3,17,8803,7743,2398,2069,528,1772,6553
Connecticut,118,48,29,12,31,20358,18104,5070,7256,1322,4456,16408
Middle Atlantic,1332,477,371,199,285,151320,138411,28576,46659,30781,28405,123350
New York,651,267,178,94,132,61402,57059,10886,16710,16069,9104,47990
New Jersey,279,102,61,44,60,41953,37609,5442,16710,5898,9917,37029
Pennsylvania,402,108,132,61,93,47984,43510,10007,13248,9232,9612,37038
East North Central,1564,603,404,174,356,132914,112930,33049,30000,20000,30000,
West North Central,605,326,80,49,150,34167,29771,10487,7815,3552,7917,25133
South Atlantic,546,185,139,32,190,76353,65380,19816,18810,12657,20137,44767
