row_label,Total,Number of cases / Identification of petitioner Employer,Number of cases / Identification of petitioner Union,Number of cases / Identification of petitioner Courts,Number of cases / Identification of petitioner State boards
"Pending October 1, 1995",1,1,0,0,0
Received fiscal 1996,9,9,0,0,0
On docket fiscal 1996,10,10,0,0,0
Closed fiscal 1996,10,10,0,0,0
"Pending September 30, 1996",0,0,0,0,0
