row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Truck Transportation................................. Transit and Ground Passenger,105,47,46,1,0,58,4125,3551,1533,1449,74,10,2018,1271
Transportation...........................................,102,58,57,0,1,44,8978,7183,4193,4123,2,68,2990,4817
Pipeline Transportation.............................,7,2,2,0,0,5,280,254,143,143,0,0,111,38
Scenic and Sightseeing Transportation.....,3,3,3,0,0,0,393,336,256,256,0,0,80,393
Support Activities for Transportation.......,42,23,17,5,1,19,881,757,454,363,58,33,303,474
48-Transportation.................................,283,147,138,7,2,136,15861,12982,7003,6683,142,178,5979,7337
Postal Service............................................,4,1,1,0,0,3,458,375,216,216,0,0,159,370
Couriers and Messengers..........................,11,5,4,1,0,6,663,540,353,295,58,0,187,523
Warehousing and Storage Facilities..........,77,30,30,0,0,47,4447,3807,1923,1732,37,154,1884,2230
49-Transportation.................................,92,36,35,1,0,56,5568,4722,2492,2243,95,154,2230,3123
Publishing Industries.................................,41,19,18,0,1,22,2174,1954,933,920,0,13,1021,1136
Motion Picture and Sound Recording Industries...................................................,4,3,2,1,0,1,532,463,346,346,0,0,117,478
Broadcasting and Telecommunications....,56,24,20,2,2,32,2555,2285,821,766,22,33,1464,586
Information Services and Data Processing Services...................................,5,4,4,0,0,1,58,52,38,38,0,0,14,41
Information...........................................,106,50,44,3,3,56,5319,4754,2138,2070,22,46,2616,2241
Credit Intermediation and Related Activities...................................................,6,4,3,0,1,2,469,420,149,140,0,9,271,103
Insurance Carriers and Related Activities,1,0,0,0,0,1,35,34,16,16,0,0,18,0
Finance and Insurance..........................,7,4,3,0,1,3,504,454,165,156,0,9,289,103
Real Estate.................................................,12,5,5,0,0,7,420,351,158,158,0,0,193,143
Rental and Leasing Services.....................,34,18,18,0,0,16,659,598,271,271,0,0,327,171
Owners and Lessors of Other Non- Financial Assets........................................,3,1,1,0,0,2,73,63,31,31,0,0,32,36
