Type of case,Total elections,Type of election — Consent,Type of election — Stipulated,Type of election — Regional director directed,Type of election — Board ordered
"All elections, total",12489,9384,965,578,1562
"Eligible voters, total",2296042,1167235,442820,454484,231503
"Valid votes, total",1928628,1001778,367131,360145,199574
"NLRA, R cases³ — total",1,0,0,0,1
"NLRA, R cases — Eligible voters",145,0,0,0,145
"NLRA, R cases — Valid votes",135,0,0,0,135
RC cases³ — total,6271,4010,775,,1486
RC cases — Eligible voters,651651,305146,122250,,224255
RC cases — Valid votes,574401,270633,110508,,193260
RM cases³ — total,160,113,21,,26
RM cases — Eligible voters,14760,9607,2685,,2468
RM cases — Valid votes,13059,8594,2440,,2025
RD cases³ — total,93,44,10,,39
RD cases — Eligible voters,6111,2640,1351,,2120
RD cases — Valid votes,5350,2243,1281,,1826
UA cases³ ⁴ — total,5964,5217,159,578,10
UA cases — Eligible voters,1623375,849842,316534,454484,2515
UA cases — Valid votes,1335683,720308,252902,360145,2328
